15:57:41 Reset everything (world change)
15:57:59 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
15:58:19 Reset everything (world change)
16:04:34 Reset everything (world change)
16:04:35 Reset everything (world change)
16:04:35 Reset everything (world change)
16:51:35 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:50 Reset everything (world change)
16:51:51 Reset everything (world change)
16:52:37 Reset everything (world change)
16:52:38 Reset everything (world change)
16:52:38 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:54:52 Reset everything (world change)
16:57:02 Reset everything (world change)
16:57:03 Reset everything (world change)
16:57:03 Reset everything (world change)
17:26:34 Added flying beacons at LorenzVec{x=-569.15625, y=50.90625, z=-237.09375}
17:26:35 Removed sitting beacon LorenzVec{x=-570.0, y=51.0, z=-239.0}
17:26:40 Added enderman with beacon at LorenzVec{x=-567.2152777777778, y=51.09027777777777, z=-228.86805555555554}
17:26:42 Added flying beacons at LorenzVec{x=-569.9791666666666, y=50.75, z=-238.09375}
17:26:43 Replaced flying beacon with sitting beacon at LorenzVec{x=-571.0, y=51.0, z=-229.0}
17:26:43 Added flying beacons at LorenzVec{x=-570.40625, y=50.90625, z=-230.375}
17:26:44 Removed sitting beacon LorenzVec{x=-571.0, y=51.0, z=-229.0}
17:26:48 Added enderman with beacon at LorenzVec{x=-567.3831018518518, y=51.0, z=-233.66203703703704}
17:26:50 Added flying beacons at LorenzVec{x=-568.8541666666666, y=50.802083333333336, z=-238.66666666666666}
17:26:50 Replaced flying beacon with sitting beacon at LorenzVec{x=-563.0, y=51.0, z=-236.0}
17:26:50 Added flying beacons at LorenzVec{x=-564.0625, y=51.0625, z=-236.28125}
17:26:51 Removed sitting beacon LorenzVec{x=-563.0, y=51.0, z=-236.0}
17:27:09 Added enderman with beacon at LorenzVec{x=-571.15625, y=51.0, z=-235.40625}
17:27:12 Added flying beacons at LorenzVec{x=-570.8333333333334, y=50.802083333333336, z=-239.40625}
17:27:12 Replaced flying beacon with sitting beacon at LorenzVec{x=-562.0, y=53.0, z=-243.0}
17:27:12 Added flying beacons at LorenzVec{x=-562.9583333333334, y=52.447916666666664, z=-242.03125}
17:27:15 Removed sitting beacon LorenzVec{x=-562.0, y=53.0, z=-243.0}
17:27:17 Added enderman with beacon at LorenzVec{x=-566.8541666666666, y=51.0, z=-236.76041666666666}
17:27:20 Added flying beacons at LorenzVec{x=-569.09375, y=50.5, z=-227.59375}
17:27:20 Replaced flying beacon with sitting beacon at LorenzVec{x=-575.0, y=51.0, z=-223.0}
17:27:22 Removed sitting beacon LorenzVec{x=-575.0, y=51.0, z=-223.0}
17:27:25 Added enderman with beacon at LorenzVec{x=-568.71875, y=51.09375, z=-228.53125}
17:27:28 Added flying beacons at LorenzVec{x=-568.6770833333334, y=50.791666666666664, z=-229.5625}
